date,x,y,z,vx,vy,vz
A.D. 2022-Jan-01 00:00:00.0000,-0.1746535618669703,0.9677212569103888,-4.558207913061104e-05,-0.01721798962460267,-0.00311928096031266,8.834706881365479e-07
A.D. 2022-Jan-02 00:00:00.0000,-0.1918436444761979,0.9644506238492162,-4.471968933543695e-05,-0.01716120090030339,-0.003421828917913144,8.341921747461998e-07
A.D. 2022-Jan-03 00:00:00.0000,-0.2089740156833122,0.9608779532723528,-4.39269201166189e-05,-0.01709857018447627,-0.003723314299570186,7.453880113921266e-07
A.D. 2022-Jan-04 00:00:00.0000,-0.2260388531962617,0.9570044314095001,-4.32391457857884e-05,-0.01703014624132761,-0.004023492075493205,6.259791333648816e-07
A.D. 2022-Jan-05 00:00:00.0000,-0.243032409695076,0.9528314787941659,-4.26812897779775e-05,-0.01695602796351756,-0.004322142248096534,4.876039012994894e-07
A.D. 2022-Jan-06 00:00:00.0000,-0.25994905452964,0.9483607163461997,-4.226617560772841e-05,-0.01687634624481032,-0.004619085628462732,3.424705606077813e-07
A.D. 2022-Jan-07 00:00:00.0000,-0.2767832950257895,0.9435939219687737,-4.199492227170471e-05,-0.01679124282535002,-0.004914186963446829,2.015379184891241e-07
A.D. 2022-Jan-08 00:00:00.0000,-0.2935297784593435,0.9385329894743147,-4.185876936809497e-05,-0.0167008537314723,-0.005207347986315379,7.35130041122433e-08
A.D. 2022-Jan-09 00:00:00.0000,-0.3101832812935338,0.9331798971139628,-4.184148201350984e-05,-0.01660530048655669,-0.005498496144306881,-3.534057314780543e-08
A.D. 2022-Jan-10 00:00:00.0000,-0.326738693222497,0.9275366873823794,-4.192166190344004e-05,-0.01650468812590132,-0.005787573947482721,-1.208820254229211e-07
A.D. 2022-Jan-11 00:00:00.0000,-0.3431910014985968,0.921605456040239,-4.207462182901521e-05,-0.01639910726315501,-0.006074531386375838,-1.805885008778083e-07
A.D. 2022-Jan-12 00:00:00.0000,-0.3595352782355105,0.9153883469835895,-4.22737606595381e-05,-0.01628863761116555,-0.006359321757111285,-2.130869056042e-07
A.D. 2022-Jan-13 00:00:00.0000,-0.3757666712143667,0.9088875498684489,-4.249153474836701e-05,-0.01617335126483944,-0.006641900163606696,-2.178236627213296e-07
A.D. 2022-Jan-14 00:00:00.0000,-0.3918803974796909,0.9021052983163886,-4.270017869092602e-05,-0.01605331491689464,-0.006922223686482526,-1.948925305734575e-07
A.D. 2022-Jan-15 00:00:00.0000,-0.4078717384965141,0.8950438675094227,-4.287232480646798e-05,-0.01592859075676285,-0.00720025229700931,-1.449985670717018e-07
A.D. 2022-Jan-16 00:00:00.0000,-0.4237360355755244,0.887705570811359,-4.298163828261527e-05,-0.0157992361425181,-0.007475949784970279,-6.951795904720353e-08
A.D. 2022-Jan-17 00:00:00.0000,-0.4394686844725065,0.8800927556848914,-4.300354045669247e-05,-0.01566530233900822,-0.007749284166786235,2.939367673011471e-08
A.D. 2022-Jan-18 00:00:00.0000,-0.4550651284310172,0.8722077996073301,-4.291604442437793e-05,-0.01552683274371352,-0.00802022724281805,1.486927166130162e-07
A.D. 2022-Jan-19 00:00:00.0000,-0.4705208493940289,0.8640531069094317,-4.270068126319791e-05,-0.01538386107842565,-0.008288753195108607,2.843810317438685e-07
A.D. 2022-Jan-20 00:00:00.0000,-0.4858313575764775,0.8556311074561893,-4.234345902962899e-05,-0.01523640998236332,-0.008554836342137858,4.315101719707065e-07
A.D. 2022-Jan-21 00:00:00.0000,-0.5009921799581813,0.8469442578794479,-4.183577767333636e-05,-0.01508449028934667,-0.008818448336226034,5.84265068617486e-07
A.D. 2022-Jan-22 00:00:00.0000,-0.5159988484310918,0.8379950457534688,-4.117522414969996e-05,-0.01492810105112865,-0.00907955512904029,7.361170410244182e-07
A.D. 2022-Jan-23 00:00:00.0000,-0.5308468882956696,0.8287859968280583,-4.036618787905336e-05,-0.01476723018266457,-0.009338113906359179,8.800270407097505e-07
A.D. 2022-Jan-24 00:00:00.0000,-0.5455318076443119,0.8193196853478676,-3.942025309167462e-05,-0.01460185557444479,-0.009594069952686697,1.008688589200254e-06
A.D. 2022-Jan-25 00:00:00.0000,-0.5600490880964568,0.8095987476455485,-3.835632345840005e-05,-0.01443194672177735,-0.009847353185076674,1.114825530779479e-06
A.D. 2022-Jan-26 00:00:00.0000,-0.574394177595996,0.799625899487617,-3.720040299760541e-05,-0.01425746733968338,-0.01009787408737722,1.191591924531754e-06
A.D. 2022-Jan-27 00:00:00.0000,-0.5885624866908689,0.7894039577621371,-3.598489899284811e-05,-0.01407837989806504,-0.01034551917332559,1.233138338578617e-06
