API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:15 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000, -1.746535618669703E-01,  9.677212569103888E-01, -4.558207913061104E-05, -1.721798962460267E-02, -3.119280960312660E-03,  8.834706881365479E-07,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000, -1.918436444761979E-01,  9.644506238492162E-01, -4.471968933543695E-05, -1.716120090030339E-02, -3.421828917913144E-03,  8.341921747461998E-07,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000, -2.089740156833122E-01,  9.608779532723528E-01, -4.392692011661890E-05, -1.709857018447627E-02, -3.723314299570186E-03,  7.453880113921266E-07,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000, -2.260388531962617E-01,  9.570044314095001E-01, -4.323914578578840E-05, -1.703014624132761E-02, -4.023492075493205E-03,  6.259791333648816E-07,
2459584.500000000, A.D. 2022-Jan-05 00:00:00.0000, -2.430324096950760E-01,  9.528314787941659E-01, -4.268128977797750E-05, -1.695602796351756E-02, -4.322142248096534E-03,  4.876039012994894E-07,
2459585.500000000, A.D. 2022-Jan-06 00:00:00.0000, -2.599490545296400E-01,  9.483607163461997E-01, -4.226617560772841E-05, -1.687634624481032E-02, -4.619085628462732E-03,  3.424705606077813E-07,
2459586.500000000, A.D. 2022-Jan-07 00:00:00.0000, -2.767832950257895E-01,  9.435939219687737E-01, -4.199492227170471E-05, -1.679124282535002E-02, -4.914186963446829E-03,  2.015379184891241E-07,
2459587.500000000, A.D. 2022-Jan-08 00:00:00.0000, -2.935297784593435E-01,  9.385329894743147E-01, -4.185876936809497E-05, -1.670085373147230E-02, -5.207347986315379E-03,  7.351300411224331E-08,
2459588.500000000, A.D. 2022-Jan-09 00:00:00.0000, -3.101832812935338E-01,  9.331798971139628E-01, -4.184148201350984E-05, -1.660530048655669E-02, -5.498496144306881E-03, -3.534057314780543E-08,
2459589.500000000, A.D. 2022-Jan-10 00:00:00.0000, -3.267386932224970E-01,  9.275366873823794E-01, -4.192166190344004E-05, -1.650468812590132E-02, -5.787573947482721E-03, -1.208820254229211E-07,
