API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:17 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  4.658081981597312E+00, -1.794562404800887E+00, -9.676268523921197E-02,  2.625200869694018E-03,  7.404026105392089E-03, -8.950114277662921E-05,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000,  4.660701446467717E+00, -1.787155881904257E+00, -9.685206234974129E-02,  2.613292690371713E-03,  7.408440753768659E-03, -8.928058797595144E-05,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000,  4.663309678527692E+00, -1.779746117858156E+00, -9.694124950156746E-02,  2.603540630018047E-03,  7.411824877631474E-03, -8.906064259304261E-05,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000,  4.665907576368958E+00, -1.772331783173395E+00, -9.703018071610021E-02,  2.592215551932882E-03,  7.416276475388319E-03, -8.882257815129226E-05,
2459584.500000000, A.D. 2022-Jan-05 00:00:00.0000,  4.668494853771474E+00, -1.764913188882745E+00, -9.711887030995514E-02,  2.581891222144769E-03,  7.421501032818731E-03, -8.854278800526727E-05,
2459585.500000000, A.D. 2022-Jan-06 00:00:00.0000,  4.671070403040316E+00, -1.757489624949277E+00, -9.720731128356497E-02,  2.569772127049997E-03,  7.425057901321599E-03, -8.835039811029951E-05,
2459586.500000000, A.D. 2022-Jan-07 00:00:00.0000,  4.673635028899984E+00, -1.750062244684304E+00, -9.729553032850870E-02,  2.558859555391447E-03,  7.429934866284559E-03, -8.808838688372834E-05,
2459587.500000000, A.D. 2022-Jan-08 00:00:00.0000,  4.676188018317601E+00, -1.742630725286357E+00, -9.738352459050385E-02,  2.547779730400481E-03,  7.433186643388472E-03, -8.788762491433949E-05,
2459588.500000000, A.D. 2022-Jan-09 00:00:00.0000,  4.678730214893986E+00, -1.735194990082142E+00, -9.747128091232812E-02,  2.536034748562961E-03,  7.437855307183533E-03, -8.764945357896944E-05,
2459589.500000000, A.D. 2022-Jan-10 00:00:00.0000,  4.681260979039487E+00, -1.727755856220227E+00, -9.755883902990053E-02,  2.526028624947171E-03,  7.441037978029145E-03, -8.743519174532012E-05,
