date,x,y,z,vx,vy,vz
A.D. 2022-Jan-01 00:00:00.0000,-0.8667737365582333,-1.268824849100116,-0.005329796658701508,0.01207985878381593,-0.006694025535047488,-0.0004366089346035751
A.D. 2022-Jan-02 00:00:00.0000,-0.8546586684468545,-1.27546700019885,-0.00576618209449699,0.0121501419832261,-0.006590142744579214,-0.0004361558014669423
A.D. 2022-Jan-03 00:00:00.0000,-0.8424737250973338,-1.282004867601813,-0.006202095994939531,0.01221960760098326,-0.006485458911083926,-0.0004356658311963583
A.D. 2022-Jan-04 00:00:00.0000,-0.8302197290231303,-1.288437652534547,-0.006637501444913462,0.01228824579122698,-0.006379978608425903,-0.0004351388795575186
A.D. 2022-Jan-05 00:00:00.0000,-0.8178975125960001,-1.294764560866343,-0.007072361385476168,0.01235604667979999,-0.006273706528711147,-0.0004345747999022581
A.D. 2022-Jan-06 00:00:00.0000,-0.8055079180660961,-1.300984803235413,-0.007506638615616982,0.012423000370406,-0.006166647496751703,-0.0004339734464410144
A.D. 2022-Jan-07 00:00:00.0000,-0.7930517975804499,-1.307097595174597,-0.007940295794102614,0.01248909695256852,-0.006058806477968258,-0.0004333346780301109
A.D. 2022-Jan-08 00:00:00.0000,-0.7805300131986865,-1.313102157237952,-0.008373295441948028,0.01255432650512826,-0.005950188572001062,-0.0004326583587353631
A.D. 2022-Jan-09 00:00:00.0000,-0.7679434369066149,-1.318997715129223,-0.008805599945304594,0.01261867909749679,-0.005840799002210796,-0.0004319443568619486
A.D. 2022-Jan-10 00:00:00.0000,-0.7552929506291869,-1.324783499832277,-0.009237171558090222,0.01268214479158866,-0.00573064311178265,-0.0004311925447359287
A.D. 2022-Jan-11 00:00:00.0000,-0.7425794462431837,-1.330458747742245,-0.009667972404099072,0.01274471363987562,-0.005619726367791683,-0.0004304027973283123
A.D. 2022-Jan-12 00:00:00.0000,-0.7298038255885947,-1.336022700796917,-0.0100979644790239,0.01280637567746552,-0.005508054369367886,-0.0004295749884643704
A.D. 2022-Jan-13 00:00:00.0000,-0.7169670004778024,-1.341474606609662,-0.01052710965290053,0.01286712091847159,-0.005395632856029812,-0.0004287089890737362
