date,x,y,z,vx,vy,vz
A.D. 2022-Jan-01 00:00:00.0000,0.3590281495798379,-0.04075441601397297,-0.03626301978853617,-0.002267403037307025,0.0292128328420631,0.002595199233022554
A.D. 2022-Jan-02 00:00:00.0000,0.3556366441583043,-0.01144451610676748,-0.03355677748599937,-0.004530084564217707,0.02937736255085247,0.002816194064553844
A.D. 2022-Jan-03 00:00:00.0000,0.3499409780102322,0.01793801788620347,-0.03063324512644,-0.006873658979784964,0.02935501182084289,0.003029337439774727
A.D. 2022-Jan-04 00:00:00.0000,0.3418670492858461,0.04719703224435998,-0.02750165488663793,-0.009283935200815267,0.0291272486033741,0.003231813241475705
A.D. 2022-Jan-05 00:00:00.0000,0.3313568432256986,0.0761179947095244,-0.02417421643148262,-0.01174286388044467,0.02867596382950043,0.003420486009615925
A.D. 2022-Jan-06 00:00:00.0000,0.3183724724156232,0.104468795593171,-0.02066642205046735,-0.014228192309956,0.02798425799257981,0.003591933564519223
A.D. 2022-Jan-07 00:00:00.0000,0.3029004942432416,0.1320014258104217,-0.01699730556025758,-0.0167132667278108,0.02703740705335094,0.003742507805233218
A.D. 2022-Jan-08 00:00:00.0000,0.2849563217542881,0.1584547030177775,-0.01318962412543663,-0.01916705614412896,0.02582398706002987,0.003868428796790373
A.D. 2022-Jan-09 00:00:00.0000,0.2645884674535629,0.1835581822054997,-0.009269927964245434,-0.02155447530062057,0.02433710723728453,0.003965915160217159
A.D. 2022-Jan-10 00:00:00.0000,0.2418822849999444,0.2070373195092289,-0.005268481586735656,-0.02383707593334761,0.02257566599947086,0.00403135011927493
A.D. 2022-Jan-11 00:00:00.0000,0.2169628155134735,0.22861985427369,-0.001219003348114985,-0.02597415060128989,0.02054550846751627,0.004061477341783512
A.D. 2022-Jan-12 00:00:00.0000,0.1899963212124459,0.248043237806887,0.002841800939150682,-0.0279242497033575,0.0182603358135581,0.004053614401403145
A.D. 2022-Jan-13 00:00:00.0000,0.1611901174688788,0.2650627804741561,0.006874919176062001,-0.02964705202786939,0.01574220639459547,0.004005865309727758
A.D. 2022-Jan-14 00:00:00.0000,0.1307904082145342,0.2794600347480661,0.01083991657686897,-0.03110546040418145,0.01302148589197827,0.003917308670158978
A.D. 2022-Jan-15 00:00:00.0000,0.09907799080746242,0.2910508113669302,0.01469598471572351,-0.03226773088821398,0.01013615385458338,0.003788136314268044
A.D. 2022-Jan-16 00:00:00.0000,0.06636191073273355,0.2996921711215042,0.01840309491968812,-0.03310940379661745,0.00713045419712386,0.003619720151539769
A.D. 2022-Jan-17 00:00:00.0000,0.0329713827445969,0.3052877702746803,0.02192317613833722,-0.03361480312242644,0.0040529743200234,0.003414592736007408
A.D. 2022-Jan-18 00:00:00.0000,-0.0007534895064114296,0.3077910701241068,0.02522122848691321,-0.03377791443868035,0.000954330527346669,0.003176338650787671
A.D. 2022-Jan-19 00:00:00.0000,-0.034471512386923,0.3072061349248925,0.02826628727929425,-0.03360253479971931,-0.002115296787513799,0.002909406838366547
A.D. 2022-Jan-20 00:00:00.0000,-0.06784998214384788,0.3035860006772433,0.03103216846402445,-0.03310169361116851,-0.005108513330181192,0.002618865425974028
A.D. 2022-Jan-21 00:00:00.0000,-0.1005733598140048,0.2970288521127114,0.03349795194195797,-0.03229644634253229,-0.00798270953291672,0.002310127752502252
A.D. 2022-Jan-22 00:00:00.0000,-0.1323504986677184,0.287672450700927,0.03564818918896016,-0.03121422016659431,-0.01070153891655743,0.001988679810054153
A.D. 2022-Jan-23 00:00:00.0000,-0.1629200830107136,0.2756873813181557,0.03747285027510885,-0.02988692792838799,-0.01323579692452202,0.001659835427203286
A.D. 2022-Jan-24 00:00:00.0000,-0.1920541545863585,0.2612697192261716,0.03896704809384104,-0.02834906238502585,-0.01556370965628918,0.001328537864225036
A.D. 2022-Jan-25 00:00:00.0000,-0.2195597982456424,0.2446336724086162,0.04013059173200424,-0.02663594527390034,-0.01767071213240568,0.000999217324465007
A.D. 2022-Jan-26 00:00:00.0000,-0.2452792061630403,0.2260046510211597,0.04096742601086265,-0.02478225014806273,-0.01954883811568855,0.0006757053200799545
A.D. 2022-Jan-27 00:00:00.0000,-0.2690884290958477,0.2056130844839733,0.04148501168825627,-0.02282085902232293,-0.02119585752713503,0.000361200283014524
A.D. 2022-Jan-28 00:00:00.0000,-0.290895156768978,0.1836891734778781,0.04169369300248744,-0.02078206194441465,-0.02261428885339542,5.827484678699136e-05
A.D. 2022-Jan-29 00:00:00.0000,-0.310635858811103,0.1604586472890991,0.04160608871524901,-0.01869307161142111,-0.02381039115804273,-0.0002310863067188594
