API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  3.590281495798379E-01, -4.075441601397297E-02, -3.626301978853617E-02, -2.267403037307025E-03,  2.921283284206310E-02,  2.595199233022554E-03,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000,  3.556366441583043E-01, -1.144451610676748E-02, -3.355677748599937E-02, -4.530084564217707E-03,  2.937736255085247E-02,  2.816194064553844E-03,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000,  3.499409780102322E-01,  1.793801788620347E-02, -3.063324512644000E-02, -6.873658979784964E-03,  2.935501182084289E-02,  3.029337439774727E-03,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000,  3.418670492858461E-01,  4.719703224435998E-02, -2.750165488663793E-02, -9.283935200815267E-03,  2.912724860337410E-02,  3.231813241475705E-03,
2459584.500000000, A.D. 2022-Jan-05 00:00:00.0000,  3.313568432256986E-01,  7.611799470952441E-02, -2.417421643148262E-02, -1.174286388044467E-02,  2.867596382950043E-02,  3.420486009615925E-03,
2459585.500000000, A.D. 2022-Jan-06 00:00:00.0000,  3.183724724156232E-01,  1.044687955931710E-01, -2.066642205046735E-02, -1.422819230995600E-02,  2.798425799257981E-02,  3.591933564519223E-03,
2459586.500000000, A.D. 2022-Jan-07 00:00:00.0000,  3.029004942432416E-01,  1.320014258104217E-01, -1.699730556025758E-02, -1.671326672781080E-02,  2.703740705335094E-02,  3.742507805233218E-03,
2459587.500000000, A.D. 2022-Jan-08 00:00:00.0000,  2.849563217542881E-01,  1.584547030177775E-01, -1.318962412543663E-02, -1.916705614412896E-02,  2.582398706002987E-02,  3.868428796790373E-03,
2459588.500000000, A.D. 2022-Jan-09 00:00:00.0000,  2.645884674535629E-01,  1.835581822054997E-01, -9.269927964245434E-03, -2.155447530062057E-02,  2.433710723728453E-02,  3.965915160217159E-03,
2459589.500000000, A.D. 2022-Jan-10 00:00:00.0000,  2.418822849999444E-01,  2.070373195092289E-01, -5.268481586735656E-03, -2.383707593334761E-02,  2.257566599947086E-02,  4.031350119274930E-03,
